epoch,val_grid_accuracy,val_cell_accuracy,val_copy_rate,val_change_recall,val_transformation_f1,run,variant,val_total_grids,val_total_cells
20,0.0027933,0.89176525,0.32104758,0.65281732,0.26052833,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
21,0.0027933,0.89144279,0.30956488,0.67564642,0.26881894,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
22,0.0027933,0.89037465,0.30988361,0.67493474,0.26869064,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
23,0.0027933,0.88981035,0.30941156,0.67430743,0.2675318,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
24,0.0027933,0.88771438,0.31434556,0.66317895,0.26083006,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
25,0.0027933,0.88748262,0.31375635,0.66250645,0.26075577,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
26,0.0027933,0.88917552,0.31372612,0.66836021,0.26303223,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
27,0.0027933,0.88772446,0.31398907,0.6625564,0.26238623,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
28,0.0027933,0.88778492,0.31230151,0.66815431,0.26302337,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
29,0.0027933,0.88770431,0.31305231,0.66557896,0.26228712,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
30,0.0,0.88107378,0.30983362,0.67328512,0.25800819,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
31,0.0027933,0.88567887,0.31079919,0.67177817,0.26407906,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
32,0.0027933,0.88498357,0.31572083,0.65686173,0.25728106,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
33,0.0027933,0.88615248,0.31973232,0.65263515,0.25595727,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
34,0.0027933,0.88365344,0.31590741,0.66116724,0.25687803,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
35,0.0027933,0.88369375,0.31313382,0.66652253,0.25828122,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
36,0.0027933,0.87924988,0.3186916,0.64756474,0.25036359,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
37,0.0027933,0.88307906,0.3136897,0.67445241,0.25922396,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
38,0.0027933,0.88125516,0.3166468,0.65000918,0.25380122,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
39,0.0027933,0.87972349,0.31418334,0.65679699,0.25309677,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
40,0.0027933,0.87934058,0.31409925,0.65473123,0.25218585,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
41,0.0027933,0.87959249,0.31382055,0.6557976,0.25312009,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
42,0.0027933,0.87765775,0.31206045,0.66195361,0.25376438,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
43,0.0,0.88114432,0.32689657,0.64282394,0.24935097,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
44,0.0027933,0.87998549,0.31815515,0.65471899,0.25299319,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
45,0.0027933,0.87870574,0.31713461,0.65265825,0.25125424,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
46,0.0027933,0.87692215,0.31429982,0.66094591,0.2510118,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
47,0.0027933,0.87633769,0.31570823,0.65488942,0.24964715,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
48,0.0027933,0.87603539,0.3185478,0.65035137,0.24697998,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
49,0.0027933,0.87758721,0.31428576,0.65801219,0.25114336,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
50,0.0027933,0.87669038,0.31445869,0.65677711,0.25336894,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
51,0.0027933,0.87556178,0.31930082,0.64666727,0.24650297,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
52,0.0,0.87584393,0.31966467,0.64601871,0.24668637,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
53,0.0027933,0.87493702,0.31776817,0.64961844,0.24751194,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
54,0.0,0.87155122,0.31887084,0.63793416,0.24152088,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
55,0.0,0.87469518,0.32036862,0.6453359,0.24698157,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
56,0.0027933,0.87601524,0.32144465,0.64037553,0.24573089,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
57,0.0,0.87523932,0.32465411,0.63072278,0.24221655,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
58,0.0,0.87409057,0.32067567,0.64602019,0.24619182,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
59,0.0,0.87445333,0.31950166,0.64685949,0.24626271,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
60,0.0027933,0.87341543,0.31831835,0.64395114,0.24440909,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
61,0.0,0.87580362,0.32155351,0.64542388,0.24777069,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
62,0.0027933,0.8735565,0.32414982,0.62724371,0.24234221,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
63,0.0027933,0.87239767,0.31759299,0.64387767,0.24541577,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
64,0.0027933,0.87281082,0.31772115,0.64953395,0.24736663,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
65,0.0027933,0.8719946,0.31787113,0.64751061,0.24539125,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
66,0.0,0.87087608,0.32558469,0.62058757,0.23891925,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
67,0.0027933,0.87163183,0.32383735,0.63217865,0.2426138,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
68,0.0,0.8716016,0.32193208,0.63533049,0.24276155,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
69,0.0,0.87167214,0.32254499,0.63429041,0.2427742,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
70,0.0,0.87117838,0.32446798,0.63021337,0.24019381,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
71,0.0,0.87163183,0.32225624,0.6350104,0.24206275,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
72,0.0,0.87159153,0.31834712,0.64389395,0.24628059,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
73,0.0,0.86921341,0.32561214,0.62769455,0.23933046,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
74,0.0027933,0.86551523,0.3197842,0.64264869,0.23912387,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
75,0.0,0.86971725,0.32157093,0.63579136,0.23946274,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
76,0.0,0.86890103,0.32247682,0.6356343,0.23825446,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
77,0.0,0.86789335,0.32128126,0.63560398,0.23772854,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
78,0.0,0.86531369,0.31640796,0.65029416,0.24237116,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
79,0.0027933,0.86964671,0.32574966,0.62659477,0.23825556,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
80,0.0,0.86880026,0.3217099,0.63238578,0.23863183,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
81,0.0,0.86879018,0.32193672,0.63378093,0.24026882,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
82,0.0,0.86744997,0.32032332,0.63555022,0.24019463,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
83,0.0,0.86855842,0.32210602,0.63078503,0.2393475,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
84,0.0027933,0.86585784,0.3233943,0.62090347,0.23725114,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
85,0.0,0.86530361,0.31493201,0.64786146,0.24347415,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
86,0.0,0.87037224,0.32125907,0.63742404,0.24257845,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
87,0.0,0.86862895,0.3202088,0.63717727,0.24185307,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
88,0.0,0.86805458,0.32000249,0.63680075,0.24092293,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
89,0.0,0.86763135,0.31960586,0.63598811,0.24083104,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
90,0.0,0.86470908,0.31501287,0.64478458,0.24310635,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
91,0.0,0.86437655,0.31721943,0.6308094,0.23886153,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
92,0.0,0.86584776,0.31520102,0.64364963,0.24124328,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
93,0.0,0.86679498,0.31998071,0.63454856,0.24079181,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
94,0.0,0.86621052,0.31860566,0.6372696,0.24136999,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
95,0.0,0.86603922,0.31986899,0.63171472,0.23927955,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
96,0.0,0.86408432,0.31877869,0.63372505,0.23813909,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
97,0.0,0.8637014,0.31955379,0.63427392,0.23774618,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
98,0.0,0.86579738,0.3187009,0.63909226,0.23946199,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
99,0.0,0.86447732,0.32017565,0.630122,0.23641401,exp2_champion_arc-agi-2_s307_csv,exp2_champion_arc-agi-2_s307_csv,358,99238
0,0.0,0.84616478,0.19943314,0.68182894,0.23814734,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,64,14067
0,0.0,0.84616478,0.19943314,0.68182894,0.23814734,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
0,0.0027933,0.90142889,0.34175261,0.63911825,0.25880226,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,64,14067
0,0.0027933,0.90142889,0.34175261,0.63911825,0.25880226,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
1,0.0027933,0.9009049,0.33101885,0.64744459,0.26343687,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
2,0.0027933,0.90084443,0.33501599,0.64116469,0.26214112,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
3,0.0027933,0.90070336,0.32878312,0.65286565,0.26457763,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
4,0.0027933,0.90079405,0.32384688,0.66033362,0.2681244,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
5,0.0027933,0.90100566,0.32504044,0.65624542,0.266701,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
6,0.0027933,0.89854693,0.33110457,0.63943871,0.26331826,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
7,0.0027933,0.89858723,0.32018291,0.665557,0.26806413,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
8,0.0027933,0.89914146,0.32560722,0.65794982,0.26565146,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
9,0.0027933,0.89887946,0.3201896,0.67112614,0.26901982,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
10,0.0027933,0.89928253,0.31901661,0.67177511,0.27053946,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
11,0.0027933,0.89943368,0.32096198,0.66759051,0.26840201,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
12,0.0027933,0.89466737,0.32556605,0.65082878,0.26087649,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
13,0.0027933,0.8965618,0.32644168,0.65923156,0.263569,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
14,0.0027933,0.89451621,0.32365113,0.65903474,0.26273604,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
15,0.0027933,0.89484875,0.31865386,0.66571206,0.26553436,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
16,0.0,0.89540297,0.31770324,0.66789418,0.26738114,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
17,0.0,0.89484875,0.31856942,0.66457055,0.26563631,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
18,0.0027933,0.89028396,0.32283809,0.64458881,0.25871936,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
19,0.0027933,0.89072734,0.31803767,0.65656297,0.26129498,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
20,0.0027933,0.89249078,0.31788411,0.66208333,0.26247411,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
21,0.0027933,0.89270239,0.31711224,0.65785459,0.26415762,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
22,0.0027933,0.89099942,0.3175582,0.6611447,0.26279703,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
23,0.0027933,0.89143272,0.3162539,0.66647792,0.26415103,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
24,0.0027933,0.8883996,0.31969662,0.65723466,0.2589852,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
25,0.0027933,0.88931659,0.31197424,0.67549933,0.26401674,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
26,0.0,0.89040489,0.31892138,0.66359888,0.26199209,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
27,0.0,0.88797638,0.31828539,0.67220828,0.26236468,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
28,0.0027933,0.88703924,0.32049138,0.66066249,0.25801629,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
29,0.0027933,0.88684778,0.31854298,0.66439285,0.25960798,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
30,0.0,0.88439912,0.32357997,0.64993447,0.25364386,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
31,0.0027933,0.88704932,0.32294984,0.65614567,0.2566683,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
32,0.0,0.88424797,0.31982425,0.65542177,0.25672087,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
33,0.0,0.8848425,0.32517559,0.64936296,0.2546528,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
34,0.0,0.8851045,0.32256486,0.65057415,0.255778,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
35,0.0,0.88416736,0.32036111,0.65416749,0.2574159,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
36,0.0027933,0.88126524,0.32972733,0.64264819,0.24785858,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
37,0.0027933,0.88235353,0.32684459,0.64119321,0.2488752,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
38,0.0027933,0.88082186,0.31855197,0.66180522,0.25385952,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
39,0.0,0.88039864,0.32222159,0.6496667,0.25154432,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
40,0.0027933,0.88039864,0.31858107,0.65796977,0.25241151,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
41,0.0027933,0.88079163,0.31946033,0.65865747,0.25318269,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
42,0.0027933,0.8790685,0.32096486,0.65260096,0.25101773,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
43,0.0027933,0.88106371,0.33017394,0.62923922,0.24572426,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
44,0.0027933,0.88214192,0.32246909,0.64555699,0.25185067,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
45,0.0027933,0.87767791,0.32352042,0.64374533,0.24780001,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
46,0.0027933,0.87824221,0.31936443,0.65249006,0.2517128,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
47,0.0027933,0.87787944,0.32098597,0.6478088,0.24940875,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
48,0.0027933,0.87623693,0.32422083,0.63365383,0.24467785,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
49,0.0027933,0.87756706,0.32765843,0.63419491,0.2395918,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
50,0.0027933,0.87678107,0.32009111,0.64632252,0.24628276,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
51,0.0,0.87775852,0.32178247,0.64581217,0.24777434,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
52,0.0,0.87801044,0.31836873,0.65650013,0.25060649,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
53,0.0027933,0.87725468,0.31884901,0.65378665,0.24979866,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
54,0.0027933,0.87279066,0.32464641,0.62922942,0.2426262,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
55,0.0027933,0.87588424,0.32105349,0.64271301,0.24502441,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
56,0.0027933,0.87460449,0.32415538,0.63797254,0.24198893,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
57,0.0027933,0.87599508,0.32073808,0.64395852,0.24666086,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
58,0.0027933,0.87562224,0.32004792,0.65147186,0.24720363,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
59,0.0027933,0.8752494,0.32101964,0.64802123,0.24602842,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
60,0.0027933,0.87591447,0.32165266,0.64092068,0.2448797,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
61,0.0027933,0.87635785,0.33001306,0.62794915,0.24189737,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
62,0.0027933,0.87515871,0.32970772,0.63262595,0.24022145,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
63,0.0027933,0.87449364,0.32106241,0.65531001,0.24681368,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
64,0.0027933,0.87391926,0.3248624,0.64306525,0.2433012,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
65,0.0027933,0.87364719,0.32399842,0.64477816,0.2424351,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
66,0.0027933,0.87071485,0.3283223,0.62514969,0.23755429,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
67,0.0,0.87288136,0.3280169,0.62611529,0.23804866,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
68,0.0027933,0.87222636,0.32063767,0.64718353,0.24227611,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
69,0.0027933,0.87445333,0.32376777,0.64845091,0.24417618,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
70,0.0027933,0.87294182,0.31943449,0.65279142,0.2456513,exp2_champion_arc-agi-2_s308_csv,exp2_champion_arc-agi-2_s308_csv,358,99238
